time	experiment	replicate	pyruvate
0	btri	A	9.590057936
4	btri	A	9.615318504
8	btri	A	9.477095319
12	btri	A	8.793531077
16	btri	A	2.936106482
24	btri	A	0.094180207
28	btri	A	0.092199317
32	btri	A	0.066382097
38	btri	A	0.142638632
48	btri	A	0.125568809
62	btri	A	0.1169393
72	btri	A	0.116649032
96	btri	A	0.113562977
120	btri	A	0.107951035
0	btri	B	9.659565688
4	btri	B	9.520138274
8	btri	B	9.625158301
12	btri	B	8.642477307
16	btri	B	1.118077851
24	btri	B	0.096174991
28	btri	B	0.082819757
32	btri	B	0.073028363
38	btri	B	0.134254073
48	btri	B	0.127581286
62	btri	B	0.12174403
72	btri	B	0.12062617
96	btri	B	0.116858117
120	btri	B	0.111464787
0	btri	C	9.57851154
4	btri	C	9.689166654
8	btri	C	9.648302783
12	btri	C	8.729960479
16	btri	C	2.368908361
24	btri	C	0.100445595
28	btri	C	0.089339093
32	btri	C	0.068614448
38	btri	C	0.135652395
48	btri	C	0.126612137
62	btri	C	0.114126766
72	btri	C	0.118187687
96	btri	C	0.116551065
120	btri	C	0.106391974
0	bhri	A	8.795836964
4	bhri	A	8.709109768
8	bhri	A	9.078949809
12	bhri	A	8.613201023
16	bhri	A	1.301553057
20	bhri	A	0.089764746
24	bhri	A	0.071939175
28	bhri	A	0.064035385
32	bhri	A	0
36	bhri	A	0
48	bhri	A	0
60	bhri	A	0
72	bhri	A	0
96	bhri	A	0
120	bhri	A	0
0	bhri	B	8.706992875
4	bhri	B	8.559924131
8	bhri	B	9.176072476
12	bhri	B	8.148741273
16	bhri	B	0.105842042
20	bhri	B	0.081225033
24	bhri	B	0.067706739
28	bhri	B	0.065528917
32	bhri	B	0
36	bhri	B	0
48	bhri	B	0
60	bhri	B	0
72	bhri	B	0
96	bhri	B	0
120	bhri	B	0
0	bhri	C	8.725874495
4	bhri	C	8.583200263
8	bhri	C	9.085900584
12	bhri	C	8.666434302
16	bhri	C	0.131265279
20	bhri	C	0.087574456
24	bhri	C	0.070634857
28	bhri	C	0
32	bhri	C	0
36	bhri	C	0
48	bhri	C	0
60	bhri	C	0
72	bhri	C	0
96	bhri	C	0
120	bhri	C	0
0	bhbtri	A	8.206060535
4	bhbtri	A	7.924275493
8	bhbtri	A	8.367344204
12	bhbtri	A	8.267824384
16	bhbtri	A	7.566698247
20	bhbtri	A	0.108363841
24	bhbtri	A	0.072996157
28	bhbtri	A	0.075043698
32	bhbtri	A	0
36	bhbtri	A	0
40	bhbtri	A	0
44	bhbtri	A	0
48	bhbtri	A	0
60	bhbtri	A	0
72	bhbtri	A	0
96	bhbtri	A	0
120	bhbtri	A	0
0	bhbtri	B	8.145069622
4	bhbtri	B	8.256856277
8	bhbtri	B	8.33772547
12	bhbtri	B	8.174989616
16	bhbtri	B	7.077536027
20	bhbtri	B	0.10539363
24	bhbtri	B	0.072400996
28	bhbtri	B	0.074974321
32	bhbtri	B	0
36	bhbtri	B	0
40	bhbtri	B	0
44	bhbtri	B	0
48	bhbtri	B	0
60	bhbtri	B	0
72	bhbtri	B	0
96	bhbtri	B	0
120	bhbtri	B	0
0	ri	A	9.91295561
6	ri	A	9.857198375
10	ri	A	9.600989698
13	ri	A	7.359401028
17	ri	A	0.021448606
21	ri	A	0.020520662
25	ri	A	0.020360941
29	ri	A	0
33	ri	A	0
38	ri	A	0
41	ri	A	0.093793177
48	ri	A	0.095590587
72	ri	A	0.115601729
0	ri	B	9.906569393
6	ri	B	9.812443976
10	ri	B	9.615626224
13	ri	B	7.382258788
17	ri	B	0
21	ri	B	0.019993199
25	ri	B	0.02182616
29	ri	B	0.021981102
33	ri	B	0
38	ri	B	0
41	ri	B	0.092619247
48	ri	B	0.094398826
72	ri	B	0.111265205
0	ri	C	9.926101185
6	ri	C	9.802574295
10	ri	C	9.603523347
13	ri	C	7.756408536
17	ri	C	0.022523152
21	ri	C	0.020340854
25	ri	C	0.021290959
29	ri	C	0.021602297
33	ri	C	0
38	ri	C	0
41	ri	C	0.088974325
48	ri	C	0.09270472
72	ri	C	0.108559258
0	ri	D	9.926645552
6	ri	D	10.04412948
10	ri	D	9.78240687
13	ri	D	8.032007663
17	ri	D	0.021660618
21	ri	D	0
25	ri	D	0
29	ri	D	0
33	ri	D	0
38	ri	D	0
41	ri	D	0.09322523
48	ri	D	0.095926602
72	ri	D	0.110902235
0	ri	E	9.842290472
6	ri	E	9.924610233
10	ri	E	9.687456017
13	ri	E	8.232736941
17	ri	E	0
21	ri	E	0.030340889
25	ri	E	0.028816391
29	ri	E	0.031714231
33	ri	E	0.031212364
38	ri	E	0.028494331
41	ri	E	0.043014607
48	ri	E	0.093561528
72	ri	E	0.107724144
0	ri	F	9.876357024
6	ri	F	9.915913284
10	ri	F	9.649775966
13	ri	F	7.880767323
17	ri	F	0.029506049
21	ri	F	0.027258857
25	ri	F	0.023600304
29	ri	F	0.025858925
33	ri	F	0.025912058
38	ri	F	0
41	ri	F	0.09452089
48	ri	F	0.094904652
72	ri	F	0.114761706
